epsilon,alpha,a_true,a_hat_mean,a_hat_std,abs_error_mean,abs_error_std,ci_low,ci_high,shots_total_mean,grover_calls_mean,ks_used,runs
0.3,0.01,0.06418556742272581,0.0654296875,0.005231677826554245,0.004438675984545161,0.003035859540848049,0.026045977921853706,0.09797745957814633,2048.0,0.0,0,5
0.25,0.01,0.06418556742272581,0.0634765625,0.0025277693565517083,0.0022902384845451553,0.001283399230278555,0.024581134171853706,0.09651261582814631,2048.0,0.0,0,5
0.2,0.01,0.06418556742272581,0.067578125,0.006415651447522203,0.005629284546364514,0.004580522449161879,0.0426475404218537,0.11457902207814628,2048.0,0.0,0,5
0.17,0.01,0.06418556742272581,0.0615234375,0.0012732817197661402,0.0026621299227258116,0.0012732817197661402,0.022300830770612234,0.09879291922938778,2048.0,0.0,0,5
0.14,0.01,0.06418556742272581,0.06005859375,0.004912022007796597,0.00540587170363549,0.003454912882300108,0.023765674520612238,0.10025776297938775,2048.0,0.0,0,5
0.12,0.01,0.06418556742272581,0.06318359375,0.006591616027611796,0.006098832234545162,0.0026939930347306463,0.018394580770612238,0.09488666922938778,2048.0,0.0,0,5
0.1,0.01,0.06418556742272581,0.065625,0.007153611942114242,0.005717574015454847,0.004533814877194841,0.026207080770612234,0.10269916922938778,2048.0,0.0,0,5
0.085,0.01,0.06418556742272581,0.06668393357705193,0.001013249771208928,0.002498366154326123,0.001013249771208928,0.028352105856766896,0.10739008164323309,3276.8,1228.8,0,5
0.07,0.01,0.06418556742272581,0.06449860035110296,0.001043793428548531,0.0006574519996503325,0.0008690518994198486,0.05753849607458147,0.07044118245836022,4096.0,3276.8,0;1,5
0.06,0.01,0.06418556742272581,0.0651989581459956,0.0010031941195762452,0.0013408051071582578,0.00048538733417753953,0.059381654018655194,0.0724562667205651,4096.0,3276.8,0;1,5
0.05,0.01,0.06418556742272581,0.06445150685679675,0.0025917118517285696,0.0021974137349477034,0.001399666739780398,0.05724394746028809,0.07140156328390124,4096.0,2867.2,0;1,5
0.04,0.01,0.06418556742272581,0.06384973540109026,0.0019543049077821663,0.00174803869147723,0.0009361899125903091,0.0577065223244711,0.07092552788950954,4096.0,2048.0,0;1,5
0.03,0.01,0.06418556742272581,0.0638678613802136,0.001429513560821126,0.0009725339475428946,0.0010948168207042246,0.05468044799351609,0.06761813330122374,4096.0,3686.4,0;1,5
0.025,0.01,0.06418556742272581,0.06382344647618496,0.0023359772367019444,0.0021441539929465845,0.0009952511667134674,0.0602496370124614,0.07371341749770556,4096.0,2048.0,0;1,5
0.02,0.01,0.06418556742272581,0.06260850395982334,0.0013449907180677356,0.0017594519858847176,0.0010956541001048738,0.055253063523545656,0.0684682223323973,4096.0,2048.0,0;1,5
0.015,0.01,0.06418556742272581,0.0643657178407779,0.001857957704508985,0.0015914561698395335,0.0009755656125286071,0.05442826547663339,0.0675666135098071,4096.0,2457.6,0;2,5
0.01,0.01,0.06418556742272581,0.06418216295497754,0.00010037099753022777,9.129976589676847e-05,4.183635133537945e-05,0.06382115310399851,0.06468227551546007,6144.0,46284.8,0;1;25,5
